排名,车型,销量,厂商,售价（万元）
99,奥迪Q5L,99,一汽-大众奥迪,39.68 - 48.70
100,影豹,100,广汽乘用车,9.83 - 13.68
101,缤瑞,101,吉利汽车,7.98 - 10.98
102,奥迪Q3,102,一汽-大众奥迪,27.88 - 32.36
103,冒险家,103,长安林肯,24.68 - 34.58
104,帝豪新能源,104,吉利新能源,13.58 - 16.18
105,ID.4 CROZZ,105,一汽-大众,18.73 - 28.73
106,凌宝BOX,106,吉麦新能源,3.98 - 5.98
107,卡罗拉锐放,107,一汽丰田,12.98 - 16.98
108,传祺GS8,108,广汽乘用车,18.68 - 24.68
109,几何A,109,几何汽车,12.68 - 20.78
110,威朗,110,上汽通用别克,12.99 - 15.89
111,奔驰GLB,111,北京奔驰,29.59 - 35.33
112,长安CS35PLUS,112,长安汽车,6.99 - 10.99
113,哈弗初恋,113,长城汽车,7.89 - 11.29
114,奥迪A3,114,一汽-大众奥迪,20.31 - 24.97
115,宝骏KiWi EV,115,上汽通用五菱,6.98 - 7.88
116,五菱星辰,116,上汽通用五菱,6.98 - 9.98
117,风行T5 EVO,117,东风风行,10.39 - 13.69
118,捷达VA3,118,一汽-大众捷达,6.58 - 9.28
119,凡尔赛C5 X,119,东风雪铁龙,14.37 - 18.67
120,极氪001,120,极氪,28.10 - 36.00
121,荣威i5,121,上汽集团,6.79 - 9.99
122,奕泽IZOA,122,一汽丰田,14.58 - 18.98
123,瑞虎3X,123,奇瑞汽车,4.99 - 6.99
124,驱逐舰05,124,比亚迪,11.98 - 15.58
125,宝马X1,125,华晨宝马,27.98 - 33.38
126,途岳,126,上汽大众,15.66 - 22.38
127,荣威RX5,127,上汽集团,9.33 - 13.98
128,菱智,128,东风风行,5.99 - 9.99
129,亚洲狮,129,一汽丰田,14.28 - 17.98
130,零跑C11,130,零跑汽车,15.98 - 19.98
